qid,rater,position,nearest
Q01,V1,A2~A3,A2
Q02,V1,A4~A5,A5
Q03,V1,A4와 같음,A4
Q04,V1,A5와 같음,A5
Q05,V1,A1과 같음,A1
Q06,V1,A4~A5,A4
Q07,V1,A5와 같음,A5
Q08,V1,A4와 같음,A4
Q09,V1,A1과 같음,A1
Q10,V1,A1과 같음,A1
Q11,V1,A1과 같음,A1
Q12,V1,A1과 같음,A1
Q13,V1,A1~A2,A1
Q14,V1,A3와 같음,A3
Q15,V1,A2와 같음,A2
Q16,V1,A3~A4,A3
Q17,V1,A1과 같음,A1
Q18,V1,A2~A3,A2
Q19,V1,A1~A2,A2
Q20,V1,A3~A4,A4
Q01,V2,A2~A3,A3
Q02,V2,A4~A5,A5
Q03,V2,A4~A5,A4
Q04,V2,A4~A5,A5
Q05,V2,A1과 같음,A1
Q06,V2,A4~A5,A4
Q07,V2,A5와 같음,A5
Q08,V2,A4~A5,A4
Q09,V2,A1~A2,A1
Q10,V2,A1과 같음,A1
Q11,V2,A1과 같음,A1
Q12,V2,A1~A2,A1
Q13,V2,A1~A2,A2
Q14,V2,A3~A4,A3
Q15,V2,A1~A2,A2
Q16,V2,A3~A4,A4
Q17,V2,A1~A2,A2
Q18,V2,A2~A3,A2
Q19,V2,A1~A2,A2
Q20,V2,A4~A5,A5
