qid,rater,position,nearest
Q01,V3,A2~A3,A2
Q02,V3,A4~A5,A4
Q03,V3,A3~A4,A4
Q04,V3,A4~A5,A5
Q05,V3,A1과 같음,A1
Q06,V3,A4~A5,A4
Q07,V3,A5와 같음,A5
Q08,V3,A3~A4,A3
Q09,V3,A1과 같음,A1
Q10,V3,A1과 같음,A1
Q11,V3,A1과 같음(하단),A1
Q12,V3,A1과 같음,A1
Q13,V3,A1~A2,A1
Q14,V3,A3~A4,A3
Q15,V3,A2와 같음,A2
Q16,V3,A3~A4,A3
Q17,V3,A1과 같음,A1
Q18,V3,A2~A3,A2
Q19,V3,A2와 같음,A2
Q20,V3,A3~A4,A3
Q01,V4,A2~A3,A2
Q02,V4,A4~A5,A5
Q03,V4,A4와 같음,A4
Q04,V4,A4~A5,A4
Q05,V4,A1과 같음,A1
Q06,V4,A4~A5,A5
Q07,V4,A5와 같음,A5
Q08,V4,A3~A4,A3
Q09,V4,A1과 같음,A1
Q10,V4,A1과 같음,A1
Q11,V4,A1과 같음,A1
Q12,V4,A1과 같음,A1
Q13,V4,A1~A2,A2
Q14,V4,A3과 같음,A3
Q15,V4,A2와 같음,A2
Q16,V4,A3~A4,A3
Q17,V4,A1~A2,A1
Q18,V4,A2~A3,A3
Q19,V4,A2~A3,A2
Q20,V4,A4~A5,A4
