qid,rater,position,nearest
Q01,W3,A2와 같음(상단),A2
Q02,W3,A3과 같음,A3
Q03,W3,A3과 같음(상단),A3
Q04,W3,A4와 같음,A4
Q05,W3,A1과 같음,A1
Q06,W3,A3과 같음,A3
Q07,W3,A5와 같음,A5
Q08,W3,A4와 같음,A4
Q09,W3,A1과 같음,A1
Q10,W3,A1과 같음,A1
Q11,W3,A1과 같음,A1
Q12,W3,A1과 같음,A1
Q13,W3,A1과 같음(상단),A1
Q14,W3,A3과 같음(하단),A3
Q15,W3,A2와 같음,A2
Q16,W3,A3과 같음,A3
Q17,W3,A2와 같음(하단),A2
Q18,W3,A2와 같음(상단),A2
Q19,W3,A2와 같음,A2
Q20,W3,A3과 같음,A3
Q01,W4,A2와 같음,A2
Q02,W4,A4와 같음,A4
Q03,W4,A4와 같음,A4
Q04,W4,A4와 같음,A4
Q05,W4,A1과 같음,A1
Q06,W4,A4와 A3 사이(A4 쪽),A4
Q07,W4,A5와 같음,A5
Q08,W4,A3과 같음,A3
Q09,W4,A1과 같음,A1
Q10,W4,A1과 같음,A1
Q11,W4,A1과 같음,A1
Q12,W4,A1과 같음,A1
Q13,W4,A1과 같음,A1
Q14,W4,A3과 A2 사이(A3 쪽),A3
Q15,W4,A2와 같음,A2
Q16,W4,A3과 같음,A3
Q17,W4,A1과 A2 사이(A1 쪽),A1
Q18,W4,A2와 같음,A2
Q19,W4,A2와 같음,A2
Q20,W4,A3과 같음,A3
