qid,rater,position,nearest
Q01,F1,A2와 같음,A2
Q02,F1,A4~A5,A4
Q03,F1,A4와 같음,A4
Q04,F1,A5와 같음,A5
Q05,F1,A1과 같음,A1
Q06,F1,A4와 같음,A4
Q07,F1,A5와 같음,A5
Q08,F1,A3~A4,A4
Q09,F1,A1과 같음,A1
Q10,F1,A1과 같음,A1
Q11,F1,A1과 같음,A1
Q12,F1,A1과 같음,A1
Q13,F1,A1~A2,A1
Q14,F1,A3과 같음,A3
Q15,F1,A2와 같음,A2
Q16,F1,A3과 같음,A3
Q17,F1,A1~A2,A1
Q18,F1,A2~A3,A2
Q19,F1,A1~A2,A2
Q20,F1,A4와 같음,A4
Q01,F2,A2~A3,A2
Q02,F2,A4~A5,A4
Q03,F2,A4과 같음,A4
Q04,F2,A5과 같음,A5
Q05,F2,A1과 같음,A1
Q06,F2,A4과 같음,A4
Q07,F2,A5과 같음,A5
Q08,F2,A3~A4,A4
Q09,F2,A1과 같음,A1
Q10,F2,A1과 같음,A1
Q11,F2,A1과 같음,A1
Q12,F2,A1과 같음,A1
Q13,F2,A1~A2,A1
Q14,F2,A3과 같음,A3
Q15,F2,A1~A2,A2
Q16,F2,A3과 같음,A3
Q17,F2,A1~A2,A1
Q18,F2,A2~A3,A2
Q19,F2,A1~A2,A2
Q20,F2,A4~A5,A4
