qid,rater,position,nearest
Q01,F3,A2과 같음,A2
Q02,F3,A4와 같음,A4
Q03,F3,A3과 같음,A3
Q04,F3,A4와 같음,A4
Q05,F3,A1과 같음,A1
Q06,F3,A3과 같음,A3
Q07,F3,A5와 같음,A5
Q08,F3,A3과 같음,A3
Q09,F3,A1과 같음,A1
Q10,F3,A1과 같음,A1
Q11,F3,A1보다 아래,A1
Q12,F3,A1과 같음,A1
Q13,F3,A2보다 아래,A2
Q14,F3,A3과 같음,A3
Q15,F3,A2와 같음,A2
Q16,F3,A3과 같음,A3
Q17,F3,A1과 같음,A1
Q18,F3,A2와 같음,A2
Q19,F3,A2와 같음,A2
Q20,F3,A3과 같음,A3
Q01,F4,A2과 같음,A2
Q02,F4,A4과 같음,A4
Q03,F4,A4과 같음,A4
Q04,F4,A4과 같음,A4
Q05,F4,A1과 같음,A1
Q06,F4,A3과 같음,A3
Q07,F4,A5과 같음,A5
Q08,F4,A3과 같음,A3
Q09,F4,A1과 같음,A1
Q10,F4,A1과 같음,A1
Q11,F4,A1과 같음,A1
Q12,F4,A1과 같음,A1
Q13,F4,A2과 같음,A2
Q14,F4,A3과 같음,A3
Q15,F4,A2과 같음,A2
Q16,F4,A3과 같음,A3
Q17,F4,A1과 같음,A1
Q18,F4,A2과 같음,A2
Q19,F4,A2과 같음,A2
Q20,F4,A3과 같음,A3
