qid,rater,position,nearest
Q01,G1,A2~A3,A3
Q02,G1,A1과 같음,A1
Q03,G1,A1~A2,A2
Q04,G1,A1과 같음,A1
Q05,G1,A3~A4,A4
Q06,G1,A4~A5,A5
Q07,G1,A1과 같음,A1
Q08,G1,A1과 같음,A1
Q09,G1,A5와 같음,A5
Q10,G1,A2~A3,A3
Q11,G1,A2~A3,A3
Q12,G1,A4~A5,A4
Q13,G1,A3과 같음,A3
Q14,G1,A2~A3,A3
Q15,G1,A2와 같음,A2
Q16,G1,A3~A4,A4
Q17,G1,A1~A2,A2
Q18,G1,A1~A2,A2
Q19,G1,A3~A4,A3
Q20,G1,A5와 같음,A5
Q01,G2,A2~A3,A3
Q02,G2,A1과 같음,A1
Q03,G2,A1~A2,A2
Q04,G2,A1과 같음,A1
Q05,G2,A4~A5,A4
Q06,G2,A5와 같음,A5
Q07,G2,A1과 같음,A1
Q08,G2,A1과 같음,A1
Q09,G2,A5와 같음,A5
Q10,G2,A2~A3,A3
Q11,G2,A2~A3,A2
Q12,G2,A4~A5,A4
Q13,G2,A3과 같음,A3
Q14,G2,A2와 같음,A2
Q15,G2,A2와 같음,A2
Q16,G2,A3~A4,A3
Q17,G2,A1~A2,A2
Q18,G2,A1~A2,A2
Q19,G2,A4와 같음,A4
Q20,G2,A5와 같음,A5
