qid,rater,position,nearest
W01,H1,A2~A3,A3
W02,H1,A1~A2,A2
W03,H1,A2와 같음,A2
W04,H1,A2~A3,A2
W05,H1,A2~A3,A3
W06,H1,A1~A2,A2
W07,H1,A1~A2,A2
W08,H1,A3과 같음,A3
W09,H1,A1~A2,A1
W10,H1,A1~A2,A2
W11,H1,A1~A2,A2
W12,H1,A2~A3,A3
W13,H1,A2~A3,A2
W14,H1,A2~A3,A2
W15,H1,A3~A4,A4
W16,H1,A1~A2,A1
W17,H1,A1~A2,A2
W18,H1,A2와 같음,A2
W19,H1,A2와 같음,A2
W20,H1,A1~A2,A2
W21,H1,A3과 같음,A3
W22,H1,A2와 같음,A2
W23,H1,A2~A3,A3
W24,H1,A3과 같음,A3
W25,H1,A2와 같음,A2
W26,H1,A3과 같음,A3
W27,H1,A2와 같음,A2
W28,H1,A2~A3,A3
W29,H1,A3과 같음,A3
W30,H1,A1~A2,A2
W31,H1,A2와 같음,A2
W32,H1,A2~A3,A2
W33,H1,A2~A3,A2
W34,H1,A2~A3,A2
W01,H2,A2~A3,A3
W02,H2,A1~A2,A2
W03,H2,A2과 같음,A2
W04,H2,A2~A3,A2
W05,H2,A2~A3,A3
W06,H2,A2과 같음,A2
W07,H2,A1~A2,A2
W08,H2,A3과 같음,A3
W09,H2,A1~A2,A1
W10,H2,A1~A2,A2
W11,H2,A1~A2,A2
W12,H2,A3과 같음,A3
W13,H2,A2~A3,A2
W14,H2,A2~A3,A2
W15,H2,A3~A4,A4
W16,H2,A1과 같음,A1
W17,H2,A1~A2,A1
W18,H2,A2과 같음,A2
W19,H2,A2과 같음,A2
W20,H2,A1~A2,A1
W21,H2,A2~A3,A3
W22,H2,A1~A2,A2
W23,H2,A3과 같음,A3
W24,H2,A3과 같음,A3
W25,H2,A2과 같음,A2
W26,H2,A3과 같음,A3
W27,H2,A2과 같음,A2
W28,H2,A2~A3,A3
W29,H2,A3과 같음,A3
W30,H2,A1과 같음,A1
W31,H2,A2과 같음,A2
W32,H2,A2~A3,A2
W33,H2,A2~A3,A2
W34,H2,A2~A3,A2
