qid,rater,position,nearest
W01,J1,B1과 같음,B1
W02,J1,B1~B2,B2
W03,J1,B1과 같음,B1
W04,J1,B3과 같음,B3
W05,J1,B4~B5,B5
W06,J1,B1~B2,B2
W07,J1,B1과 같음,B1
W08,J1,B2와 같음,B2
W09,J1,B1과 같음,B1
W10,J1,B1과 같음,B1
W11,J1,B3과 같음,B3
W12,J1,B5보다 무거움,B5
W13,J1,B2와 같음,B2
W14,J1,B2와 같음,B2
W15,J1,B5보다 무거움,B5
W16,J1,B1과 같음,B1
W17,J1,B2~B3,B2
W18,J1,B2~B3,B3
W19,J1,B1~B2,B2
W20,J1,B1과 같음,B1
W21,J1,B2와 같음,B2
W22,J1,B2와 같음,B2
W23,J1,B4~B5,B5
W24,J1,B3~B4,B3
W25,J1,B1과 같음,B1
W26,J1,B2~B3,B3
W27,J1,B1~B2,B2
W28,J1,B2와 같음,B2
W29,J1,B3~B4,B4
W30,J1,B1과 같음,B1
W31,J1,B1과 같음,B1
W32,J1,B2와 같음,B2
W33,J1,B4~B5,B5
W34,J1,B2와 같음,B2
W01,J2,B1과 같음,B1
W02,J2,B1~B2,B2
W03,J2,B1과 같음,B1
W04,J2,B3과 같음,B3
W05,J2,B3~B4,B4
W06,J2,B1과 같음,B1
W07,J2,B1과 같음,B1
W08,J2,B2와 같음,B2
W09,J2,B1보다 가벼움,B1
W10,J2,B1과 같음,B1
W11,J2,B4과 같음,B4
W12,J2,B5보다 무거움,B5
W13,J2,B2와 같음,B2
W14,J2,B2와 같음,B2
W15,J2,B5보다 무거움,B5
W16,J2,B1보다 가벼움,B1
W17,J2,B2와 같음,B2
W18,J2,B2~B3,B2
W19,J2,B1과 같음,B1
W20,J2,B1~B2,B1
W21,J2,B2와 같음,B2
W22,J2,B2와 같음,B2
W23,J2,B5보다 무거움,B5
W24,J2,B3과 같음,B3
W25,J2,B1과 같음,B1
W26,J2,B3과 같음,B3
W27,J2,B1~B2,B2
W28,J2,B2와 같음,B2
W29,J2,B4과 같음,B4
W30,J2,B1보다 가벼움,B1
W31,J2,B1~B2,B1
W32,J2,B2와 같음,B2
W33,J2,B5보다 무거움,B5
W34,J2,B2와 같음,B2
