sample,band,unit,rater,SE1a,SE1b,SE1c,SE2,SE3,SE4,SE5,N,L,T,H,R,F,E,P,M
1,1-2,GM,R1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1-2,GM,R2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1-2,GM,R3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1-2,ST,A,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
3,1-2,ST,A,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
4,1-2,ST,A,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1
5,3,GM,R1,3,1,5,3,0,0,1,0,0,1,1,1,0,1,1,1
5,3,GM,R2,4,1,7,3,0,0,1,0,0,1,0,0,0,1,1,2
5,3,GM,R3,4,1,9,3,0,0,1,0,0,1,1,0,0,1,1,1
6,3,ST,R1,2,2,4,2,1,0,1,0,0,1,0,2,0,1,1,1
6,3,ST,R2,3,2,5,2,1,0,1,0,0,1,0,2,0,1,0,1
6,3,ST,R3,4,3,8,2,1,0,0,0,0,1,0,2,0,1,1,1
7,3,FN,A,2,1,5,2,1,0,0,0,0,0,0,0,0,0,0,1
8,3,RF,A,4,3,6,4,2,0,1,0,0,1,0,1,0,1,0,2
9,3,GM,A,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1
10,3,ST,A,3,2,5,2,2,0,1,0,0,1,0,2,0,1,1,2
11,4,GM,R1,3,1,5,3,1,0,1,0,0,1,1,1,0,2,1,2
11,4,GM,R2,3,1,6,4,1,0,2,0,0,1,0,2,0,2,1,2
11,4,GM,R3,3,1,7,3,1,0,2,0,0,1,1,1,0,2,1,2
12,4,ST,R1,3,2,6,3,1,3,1,0,0,1,0,3,0,2,2,2
12,4,ST,R2,4,2,9,3,1,3,2,0,0,1,0,3,0,2,1,2
12,4,ST,R3,3,2,7,3,1,3,1,0,0,2,0,2,0,2,2,2
13,4,FN,A,2,2,3,3,2,2,2,0,0,2,0,3,0,2,2,2
14,4,RF,A,3,2,5,3,1,0,1,0,0,1,0,1,0,1,1,2
15,4,RF,A,2,1,3,3,1,0,1,0,0,1,0,1,0,1,1,2
16,4,GM,A,4,1,7,3,,0,1,0,0,2,0,2,0,2,2,2
17,4,ST,A,2,2,3,4,2,,3,0,0,2,0,3,0,3,2,2
18,4P,GM,R1,3,2,5,5,2,0,1,0,2,1,2,1,0,2,0,1
18,4P,GM,R2,3,1,4,5,2,0,1,0,0,1,0,1,0,1,0,2
18,4P,GM,R3,3,2,4,4,1,0,1,0,,1,0,1,0,2,0,1
19,4P,GM,A,4,1,8,3,1,0,2,0,0,2,0,3,1,2,2,2
20,4P,GM,A,4,2,6,4,2,0,1,0,0,2,0,2,0,3,2,2
21,4P,ST,R1,4,1,8,4,2,2,2,0,0,2,0,4,0,3,3,3
21,4P,ST,R2,5,2,9,4,2,1,2,0,0,2,0,3,0,3,2,3
21,4P,ST,R3,4,2,9,4,2,2,3,0,0,2,0,3,0,3,2,2
22,4P,ST,R1,4,2,7,4,2,1,3,0,0,2,0,3,0,3,2,3
22,4P,ST,R2,4,2,6,5,3,,3,0,0,2,0,2,0,3,2,2
22,4P,ST,R3,4,2,9,4,2,2,3,0,0,2,0,3,0,3,2,2
23,4P,ST,B,3,2,6,4,2,1,3,0,0,1,0,4,0,2,2,2
24,4P,GM,B,4,2,6,5,3,0,3,0,0,1,0,3,0,2,2,2
25,4P,ST,B,3,2,7,5,2,0,3,0,0,1,0,3,0,2,1,2
26,5,GM,R1,4,2,7,4,2,0,2,0,0,2,1,2,0,3,3,3
26,5,GM,R2,5,1,10,5,2,0,2,0,0,3,0,3,0,3,3,3
26,5,GM,R3,5,2,12,5,2,0,2,0,0,3,1,2,0,3,3,3
27,5,GM,B,4,1,9,5,1,0,3,0,0,2,0,4,0,2,2,2
28,5,ST,B,3,2,6,4,1,0,3,0,0,1,0,3,0,2,2,2
29,5,ST,B,3,2,8,5,2,2,4,0,0,2,0,3,0,3,2,2
30,5,GM,B,4,2,6,6,1,0,2,0,0,2,0,2,0,2,2,2
31,5,GM,B,5,2,11,5,2,2,3,0,0,2,0,5,0,3,3,3
32,5,ST,R1,4,3,8,5,2,4,3,0,0,2,0,3,0,3,2,3
32,5,ST,R2,5,3,8,4,2,5,2,0,0,2,0,2,0,2,2,2
32,5,ST,R3,5,3,10,4,2,4,2,0,0,2,0,3,0,3,2,3
33,5,FN,B,2,2,3,5,3,0,3,0,0,1,0,3,0,3,2,2
34,5P,GM,R1,3,1,5,4,1,2,3,0,0,2,0,3,0,3,3,3
34,5P,GM,R2,5,1,9,5,2,4,3,0,0,2,0,4,0,3,3,3
34,5P,GM,R3,5,2,10,4,1,3,4,0,0,2,0,4,0,3,3,3
35,5P,GM,B,5,3,10,5,2,0,3,0,0,2,0,3,0,3,3,3
36,5P,GM,B,5,2,10,6,2,2,5,0,0,3,0,5,0,3,3,3
37,5P,RF,B,6,3,16,7,1,3,5,0,0,3,0,5,0,3,3,3
