id,unit,type,star,rate,freq,status,typeName
DI-2026M-030,CM1-EQ,EQ-T23,5,0.350,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-F10-012,CM1-EQ,EQ-T41,5,0.330,3,meta_only,"미지수가 3개인 연립일차방정식"
DI-F10-016,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F10-021,CM2-ST,T17,5,0.300,2,meta_only,"새로운 연산기호로 정의한 집합의 연산"
DI-F10-031,CM2-ST,T07,5,0.300,3,meta_only,"특정한 원소를 갖거나 갖지 않는 부분집합의 개수"
DI-F10-033,CM2-RF,R03,5,0.310,3,meta_only,"유리식의 값(1) 곱셈 공식 변형 이용"
DI-F10-040,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F10-052,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F10-054,CM2-GM,T26,5,0.340,3,meta_only,"삼각형의 무게중심"
DI-F10-077,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F11-034,CM1-EQ,EQ-T42,5,0.290,3,meta_only,"정수 조건의 부정방정식"
DI-F11-059,CM1-CB,CB-T08,5,0.290,2,meta_only,"여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우"
DI-F11-075,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F11-092,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F11-093,CM1-EQ,EQ-T06,5,0.310,3,meta_only,"조건을 만족시키는 복소수 구하기"
DI-F12-052,CM2-GM,T20,5,0.300,3,meta_only,"외분"
DI-F12-053,CM1-EQ,EQ-T42,5,0.320,3,meta_only,"정수 조건의 부정방정식"
DI-F12-057,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F12-058,CM2-ST,T10,5,0.300,3,meta_only,"합집합과 교집합"
DI-F12-059,CM2-GM,T19,5,0.300,3,meta_only,"좌표평면 위의 두 점 사이의 거리 구하기"
DI-F12-092,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F12-093,CM2-GM,T23,5,0.300,3,meta_only,"원의 방정식"
DI-F13-012,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F13-013,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F13-014,CM2-GM,T14,5,0.350,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F13-022,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F13-039,CM1-EQ,EQ-T42,5,0.320,3,meta_only,"정수 조건의 부정방정식"
DI-F3-079,CM2-GM,T20,5,0.290,3,meta_only,"외분"
DI-F4-119,CM1-EQ,EQ-T30,5,0.320,3,meta_only,"이차함수 최대·최소의 활용"
DI-F5-101,CM2-GM,T28,5,0.340,3,meta_only,"직선의 방정식(3) 두 점이 주어질 때"
DI-F5-126,CM2-ST,T12,5,0.300,2,meta_only,"드모르간의 법칙"
DI-F6-027,CM1-EQ,EQ-T49,5,0.320,3,meta_only,"연립일차방정식의 활용"
DI-F6-066,CM1-PL,PL-T10,5,0.350,3,meta_only,"다항식의 나눗셈(1) 몫과 나머지"
DI-F6-067,CM2-GM,T28,5,0.300,3,meta_only,"직선의 방정식(3) 두 점이 주어질 때"
DI-F6-079,CM2-GM,T24,5,0.340,3,meta_only,"원과 직선의 위치 관계"
DI-F6-123,CM2-RF,M03,5,0.300,3,meta_only,"무리수가 서로 같을 조건"
DI-F6-137,CM2-GM,T20,5,0.300,3,meta_only,"좌표평면 위의 선분의 내분점 구하기"
DI-F7-017,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F7-097,CM2-RF,R03,5,0.300,3,meta_only,"유리식의 값(4) 관계식이 주어질 때"
DI-F7-106,CM1-EQ,EQ-T49,5,0.320,3,meta_only,"연립일차방정식의 활용"
DI-F7-121,CM2-ST,T02,5,0.300,3,meta_only,"집합의 표현 방법"
DI-F7-128,CM2-RF,M03,5,0.300,3,meta_only,"무리수가 서로 같을 조건"
DI-F8-015,CM2-GM,T20,5,0.300,3,meta_only,"외분"
DI-F8-095,CM1-EQ,EQ-T49,5,0.330,3,meta_only,"연립일차방정식의 활용"
DI-F9-053,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F9-077,CM2-ST,T23,5,0.300,3,meta_only,"조건의 진리집합"
DI-F9-080,CM2-ST,T18,5,0.300,3,meta_only,"유한집합의 원소의 개수"
DI-F9-100,CM2-GM,T20,5,0.300,3,meta_only,"외분"
