id,unit,type,star,rate,freq,status,typeName
DI-2026M-020,CM1-EQ,EQ-T57,5,0.370,3,meta_only,"해의 조건이 주어진 연립이차부등식"
DI-2026M-021,CM1-PL,PL-T21,5,0.370,3,meta_only,"나머지정리(3) 이차식으로 나누었을 때의 나머지"
DI-2026M-029,CM1-PL,PL-T19,5,0.370,3,meta_only,"다항식의 나눗셈과 항등식"
DI-2026M-030,CM1-EQ,EQ-T23,5,0.350,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-2026M-060,CM1-EQ,EQ-T22,5,0.400,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-2026M-090,CM1-EQ,EQ-T23,5,0.390,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-2026M-120,CM1-EQ,EQ-T22,5,0.370,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-2026M-150,CM2-ST,T20,5,0.370,3,meta_only,"유한집합의 원소의 개수의 활용(1)"
DI-F1-029,CM2-GM,T22,5,0.400,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F10-012,CM1-EQ,EQ-T41,5,0.330,3,meta_only,"미지수가 3개인 연립일차방정식"
DI-F10-016,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F10-031,CM2-ST,T07,5,0.300,3,meta_only,"특정한 원소를 갖거나 갖지 않는 부분집합의 개수"
DI-F10-033,CM2-RF,R03,5,0.310,3,meta_only,"유리식의 값(1) 곱셈 공식 변형 이용"
DI-F10-040,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F10-052,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F10-054,CM2-GM,T26,5,0.340,3,meta_only,"삼각형의 무게중심"
DI-F10-063,CM2-GM,T22,5,0.370,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F10-077,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F11-034,CM1-EQ,EQ-T42,5,0.290,3,meta_only,"정수 조건의 부정방정식"
