id,unit,type,star,rate,freq,status,typeName
DI-2026M-017,CM1-PL,PL-T19,5,0.500,3,meta_only,"다항식의 나눗셈과 항등식"
DI-2026M-018,CM1-EQ,EQ-T30,5,0.490,3,meta_only,"이차함수 최대·최소의 활용"
DI-2026M-019,CM1-EQ,EQ-T25,5,0.510,3,meta_only,"이차함수와 이차방정식의 활용"
DI-2026M-020,CM1-EQ,EQ-T57,5,0.370,3,meta_only,"해의 조건이 주어진 연립이차부등식"
DI-2026M-021,CM1-PL,PL-T21,5,0.370,3,meta_only,"나머지정리(3) 이차식으로 나누었을 때의 나머지"
DI-2026M-027,CM1-EQ,EQ-T23,5,0.490,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-2026M-028,CM1-PL,PL-T34,5,0.500,3,meta_only,"인수분해(6) 인수 정리를 이용한 식의 인수분해"
DI-2026M-029,CM1-PL,PL-T19,5,0.370,3,meta_only,"다항식의 나눗셈과 항등식"
DI-2026M-030,CM1-EQ,EQ-T23,5,0.350,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-2026M-058,CM2-GM,T25,5,0.500,3,meta_only,"원의 접선의 방정식의 활용"
DI-2026M-059,CM1-PL,PL-T09,5,0.480,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-2026M-060,CM1-EQ,EQ-T22,5,0.400,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-2026M-079,CM1-EQ,EQ-T26,5,0.480,3,meta_only,"제한된 범위에서의 이차함수의 최대·최소"
DI-2026M-080,CM1-EQ,EQ-T22,5,0.480,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-2026M-087,CM1-PL,PL-T21,5,0.480,3,meta_only,"나머지정리(3) 이차식으로 나누었을 때의 나머지"
DI-2026M-088,CM1-EQ,EQ-T30,5,0.450,3,meta_only,"이차함수 최대·최소의 활용"
DI-2026M-090,CM1-EQ,EQ-T23,5,0.390,3,meta_only,"이차함수의 그래프와 직선의 위치 관계"
DI-2026M-110,CM1-EQ,EQ-T57,5,0.410,3,meta_only,"해의 조건이 주어진 연립이차부등식"
DI-2026M-111,CM1-EQ,EQ-T30,5,0.430,3,meta_only,"이차함수 최대·최소의 활용"
DI-2026M-117,CM1-EQ,EQ-T26,5,0.430,3,meta_only,"제한된 범위에서의 이차함수의 최대·최소"
DI-2026M-118,CM1-EQ,EQ-T25,5,0.460,3,meta_only,"이차함수와 이차방정식의 활용"
DI-2026M-120,CM1-EQ,EQ-T22,5,0.370,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-2026M-138,CM1-EQ,EQ-T54,5,0.460,3,meta_only,"이차부등식의 활용"
DI-2026M-139,CM1-EQ,EQ-T23,5,0.490,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-2026M-141,CM2-GM,T14,5,0.440,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-2026M-148,CM1-PL,PL-T36,5,0.450,3,meta_only,"인수분해의 활용(3) 식의 값 구하기"
DI-2026M-149,CM1-PL,PL-T09,5,0.490,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-2026M-150,CM2-ST,T20,5,0.370,3,meta_only,"유한집합의 원소의 개수의 활용(1)"
DI-F1-019,CM1-EQ,EQ-T22,5,0.530,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-F1-021,CM1-EQ,EQ-T23,5,0.430,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F1-026,CM2-GM,T07,5,0.560,3,meta_only,"y=x， y=-x에 대한 대칭이동"
DI-F1-027,CM2-GM,T22,5,0.440,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F1-028,CM1-EQ,EQ-T26,5,0.530,3,meta_only,"제한된 범위에서의 이차함수의 최대·최소"
DI-F1-029,CM2-GM,T22,5,0.400,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F1-048,CM1-PL,PL-T09,5,0.570,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-F1-050,CM1-EQ,EQ-T55,5,0.500,3,meta_only,"이차부등식과 두 그래프의 위치 관계(1) 만나는 경우"
DI-F1-057,CM1-PL,PL-T19,5,0.530,3,meta_only,"다항식의 나눗셈과 항등식"
DI-F1-058,CM1-EQ,EQ-T30,5,0.420,3,meta_only,"이차함수 최대·최소의 활용"
DI-F1-059,CM1-EQ,EQ-T27,5,0.440,3,meta_only,"최댓값 또는 최솟값이 주어졌을 때 미정계수 구하기"
DI-F1-077,CM1-PL,PL-T21,5,0.500,3,meta_only,"나머지정리(3) 이차식으로 나누었을 때의 나머지"
DI-F1-079,CM2-GM,T27,5,0.490,3,meta_only,"원 위의 점과 직선 사이의 거리의 최대·최소"
DI-F1-085,CM2-GM,T21,5,0.520,3,meta_only,"두 직선 y=mx+n， y=m'x+n'의 위치 관계"
