게시물ID,제목,게시일,원래 카테고리,규칙 기반 주제 분류,URL,추출본문 문자수,본문 이미지 요소수,본문 확인
224400925807,"중계중 중2 수학 시험, 최근 3년 중간고사에서 보인 변화! | 중계동 수학학원 수학의기술",2026. 9. 4.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224400925807,4494,14,추출
224400680258,"하계중 2학년 중간고사, 최근 3년 문제에서 보이는 수학 출제 특징! | 중계동 수학학원 수학의기술",2026. 9. 4.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224400680258,3161,14,추출
224400006343,"상명중 2학년 수학 중간고사, 최근 3년 문제는 어떻게 달라졌을까? | 중계동 수학학원 수학의기술",2026. 9. 4.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224400006343,4353,17,추출
224399757158,"중계동 수학학원 수학의기술｜불암중 2학년 중간고사, 최근 3년 출제 흐름은?",2026. 9. 3.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224399757158,5588,17,추출
224398543258,"을지중 2학년 중간고사, 최근 3년 난이도와 출제 특징 한눈에 보기! | 중계동 수학학원 수학의기술",2026. 9. 2.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224398543258,3822,14,추출
224397080953,"중계동 고등수학, 새 학기가 시작되어도 학습의 흐름은 이어집니다! | 중계동 수학학원 수학의기술",2026. 9. 1.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224397080953,2277,11,추출
224396079862,"새로운 9월, 중등부 수학은 이렇게 이어지고 있습니다! | 중계동 수학학원 수학의기술",2026. 8. 31.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224396079862,2771,19,추출
224393384956,"2027학년도 수시 원서접수 일정, 대학별 마감일은 꼭 확인하세요! | 중계동 수학학원 수학의기술",2026. 8. 30.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224393384956,2399,15,추출
224392210472,중학생 학부모를 위한 2026 고입진로설명회 안내 | 중계동 수학학원 수학의기술,2026. 8. 29.,은행사거리점(직접 게시),모집·개강,https://blog.naver.com/skills_in_math2/224392210472,2147,14,추출
224393259344,"9월 2일 시행, 2027학년도 9월 모의평가 주요 일정 정리! | 중계동 수학학원 수학의기술",2026. 8. 28.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224393259344,2596,14,추출
224391933473,"서라벌고·대진여고·대진고 중간고사 일정, 언제부터 준비할까? | 중계동 수학학원 수학의기술",2026. 8. 27.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224391933473,2317,13,추출
